Stkcd,Trddt,INST,Trdmnt,Year,Month
16,2018-06-30,37.9725,2018-06,2018,6
16,2018-09-30,37.889999,2018-09,2018,9
16,2018-12-31,38.8097,2018-12,2018,12
16,2019-03-31,38.700001,2019-03,2019,3
16,2019-06-30,39.125099,2019-06,2019,6
16,2019-09-30,38.91,2019-09,2019,9
16,2019-12-31,38.819801,2019-12,2019,12
18,2015-09-30,24.7206,2015-09,2015,9
18,2015-12-31,39.673401,2015-12,2015,12
18,2016-03-31,40.041698,2016-03,2016,3
18,2016-06-30,30.858801,2016-06,2016,6
18,2016-09-30,29.485001,2016-09,2016,9
18,2016-12-31,30.615801,2016-12,2016,12
18,2017-03-31,24.2155,2017-03,2017,3
18,2017-06-30,22.531601,2017-06,2017,6
18,2017-09-30,21.2763,2017-09,2017,9
18,2017-12-31,21.2943,2017-12,2017,12
18,2018-06-30,15.4546,2018-06,2018,6
18,2018-09-30,15.646,2018-09,2018,9
18,2018-12-31,15.3524,2018-12,2018,12
18,2019-03-31,15.21,2019-03,2019,3
19,2012-03-31,30.181,2012-03,2012,3
19,2016-09-30,35.66,2016-09,2016,9
19,2016-12-31,35.915298,2016-12,2016,12
19,2017-03-31,35.759998,2017-03,2017,3
19,2017-06-30,35.771,2017-06,2017,6
19,2018-12-31,72.529999,2018-12,2018,12
19,2019-03-31,72.339996,2019-03,2019,3
19,2019-06-30,72.435501,2019-06,2019,6
19,2019-09-30,72.25,2019-09,2019,9
19,2019-12-31,72.216003,2019-12,2019,12
21,2009-03-31,1.9119999,2009-03,2009,3
21,2009-06-30,83.100601,2009-06,2009,6
21,2009-09-30,72.415497,2009-09,2009,9
21,2009-12-31,82.259499,2009-12,2009,12
21,2010-03-31,63.418098,2010-03,2010,3
21,2010-06-30,89.928001,2010-06,2010,6
21,2010-09-30,68.537102,2010-09,2010,9
21,2010-12-31,82.119499,2010-12,2010,12
21,2011-03-31,64.504997,2011-03,2011,3
21,2011-06-30,76.327698,2011-06,2011,6
21,2011-09-30,63.041,2011-09,2011,9
21,2011-12-31,64.088501,2011-12,2011,12
21,2012-03-31,60.400002,2012-03,2012,3
21,2012-06-30,73.757599,2012-06,2012,6
21,2012-09-30,61.460999,2012-09,2012,9
21,2012-12-31,64.749001,2012-12,2012,12
