"Symbol","EndDate","InsInvestorProp"
"000012","2010-09-30","23.8117"
"000012","2010-12-31","46.5288"
"000012","2011-03-31","31.7288"
"000012","2011-06-30","34.3057"
"000012","2011-09-30","27.6275"
"000012","2011-12-31","21.1805"
"000012","2012-03-31","14.7750"
"000012","2012-06-30","27.6111"
"000012","2012-09-30","14.7008"
"000012","2012-12-31","26.8433"
"000012","2013-03-31","15.1808"
"000012","2013-06-30","32.6476"
"000012","2013-09-30","17.8322"
"000012","2013-12-31","22.0535"
"000012","2014-03-31","14.5643"
"000012","2014-06-30","17.8994"
"000012","2014-09-30","13.1850"
"000012","2014-12-31","15.6545"
"000012","2015-03-31","17.1754"
"000012","2015-06-30","24.8241"
"000012","2015-09-30","29.3676"
"000012","2015-12-31","31.7662"
"000012","2016-03-31","34.5909"
"000012","2016-06-30","38.0851"
"000012","2016-09-30","35.7100"
"000012","2016-12-31","32.8265"
"000012","2017-03-31","31.8800"
"000012","2017-06-30","32.6000"
"000012","2017-09-30","31.3723"
"000012","2017-12-31","29.7774"
"000012","2018-03-31","29.1804"
"000012","2018-06-30","29.8284"
"000012","2018-09-30","29.4079"
"000012","2018-12-31","30.7765"
"000012","2019-03-31","30.2200"
"000012","2019-06-30","31.6362"
"000012","2019-09-30","30.6800"
"000012","2019-12-31","32.2379"
"000014","2009-03-31","16.8110"
"000014","2009-06-30","95.9466"
"000014","2009-09-30","52.0080"
"000014","2009-12-31","90.4954"
"000014","2010-03-31","43.3630"
"000014","2010-06-30","77.8494"
"000014","2010-09-30","41.0920"
"000014","2010-12-31","75.5284"
"000014","2011-03-31","40.4020"
"000014","2011-06-30","71.6793"
"000014","2011-09-30","40.9901"
"000014","2011-12-31","41.4482"
"000014","2012-03-31","37.5260"
"000014","2012-06-30","68.9880"
"000014","2012-09-30","36.6720"
"000014","2012-12-31","39.4700"
"000014","2013-03-31","37.0800"
"000014","2013-06-30","36.1600"
"000014","2013-09-30","41.3300"
"000014","2013-12-31","41.6800"
"000014","2014-03-31","40.2800"
"000014","2014-06-30","34.3732"
"000014","2014-09-30","34.7400"
"000014","2014-12-31","32.0778"
"000014","2015-03-31","34.3000"
"000014","2015-06-30","35.9500"
"000014","2015-09-30","45.0200"
"000014","2015-12-31","49.0078"
"000014","2016-03-31","45.3300"
"000014","2016-06-30","46.6355"
"000014","2016-09-30","50.4172"
"000014","2016-12-31","52.7178"
"000014","2017-03-31","48.2600"
"000014","2017-06-30","49.2901"
"000014","2017-09-30","52.1700"
"000014","2017-12-31","41.6922"
"000014","2018-03-31","36.8696"
"000014","2018-06-30","35.7500"
"000014","2018-09-30","34.0200"
"000014","2018-12-31","35.5600"
"000014","2019-03-31","34.0200"
"000014","2019-06-30","34.1444"
"000014","2019-09-30","34.8700"
"000014","2019-12-31","34.5917"
"000016","2009-03-31","24.2354"
"000016","2009-06-30","34.2916"
"000016","2009-09-30","16.4880"
"000016","2009-12-31","54.3327"
"000016","2010-03-31","22.0321"
"000016","2010-06-30","37.5941"
"000016","2010-09-30","14.8070"
"000016","2010-12-31","29.7659"
"000016","2011-03-31","11.5640"
"000016","2011-06-30","34.5586"
"000016","2011-09-30","12.2540"
"000016","2011-12-31","29.9517"
"000016","2012-03-31","11.4330"
"000016","2012-06-30","34.3550"
"000016","2012-09-30","10.6640"
"000016","2012-12-31","27.1012"
"000016","2013-03-31","27.0500"
"000016","2013-06-30","27.1834"
"000016","2013-09-30","26.7400"
"000016","2013-12-31","26.8963"
"000016","2014-03-31","29.4400"
"000016","2014-06-30","29.1166"
"000016","2014-09-30","32.2400"
"000016","2014-12-31","35.8598"
"000016","2015-03-31","38.9346"
"000016","2015-06-30","42.8299"
"000016","2015-09-30","39.0400"
"000016","2015-12-31","39.8740"
"000016","2016-03-31","39.4200"
"000016","2016-06-30","39.2359"
"000016","2016-09-30","38.5800"
"000016","2016-12-31","39.5640"
"000016","2017-03-31","39.2125"
"000016","2017-06-30","39.5820"
"000016","2017-09-30","38.7000"
"000016","2017-12-31","37.8589"
"000016","2018-03-31","37.9947"
"000016","2018-06-30","37.9725"
"000016","2018-09-30","37.8900"
"000016","2018-12-31","38.8097"
"000016","2019-03-31","38.7000"
"000016","2019-06-30","39.1251"
"000016","2019-09-30","38.9100"
"000016","2019-12-31","38.8198"
"000017","2009-03-31","2.9730"
"000017","2009-06-30","40.5360"
"000017","2009-09-30","2.3150"
"000017","2009-12-31","42.1740"
"000017","2010-03-31","4.2960"
